#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
001872192-02 001872192 02   0.66940243 131.84375924     8.1547     106.6   1.6856    1.657   1.598  5314 3.981    0.01442 0.009505    2.89      5.3   8777.726
001872262-01 001872262 01   1.12651407 131.57758074     7.8522      30.0   3.8073    0.877   1.469  7133 4.275    0.02417 0.005474    1.70      8.0   8570.687
001872340-01 001872340 01 424.27875185 210.54454657    15.8605    1218.2   8.5613   12.581   2.799  5059 3.466    1.04104 0.041190  166.68     12.0      4.242
001872340-02 001872340 02 637.55371207 147.56581195    21.1831     586.6   3.6218    7.515   2.799  5059 3.466    1.36577 0.024606  880.82      5.7      2.465
001872340-03 001872340 03 586.64916358 221.10657965    18.3066     815.4   3.8508    8.252   2.799  5059 3.466    1.29207 0.027017  981.10      7.7      2.754
001872340-04 001872340 04 424.43693222 154.56661899    15.5510     417.8   3.8091    5.724   2.799  5059 3.466    1.04130 0.018742  793.51      5.7      4.240
001872340-05 001872340 05 430.50966194 329.92953863    15.3857     444.4   3.1232    6.472   2.799  5059 3.466    1.05121 0.021188  711.35      4.2      4.161
001872885-01 001872885 01 505.10036134 374.99583889    13.2566    4062.6   2.7587    3.954   0.614  3847 4.648    1.05373 0.059010 1285.78      6.9      0.067
001872885-02 001872885 02 285.71302147 380.99024773    11.8776     866.9   1.1413    1.958   0.614  3847 4.648    0.72071 0.029226 1434.27      1.7      0.142
001872948-01 001872948 01   1.38739229 131.82842935     8.5822       4.4   8.9233    0.762   3.567  7710 3.649    0.03102 0.001957    1.33      6.6  41851.873
001872948-02 001872948 02  36.72401170 134.03796396    16.4056      37.2   6.2463    2.311   3.567  7710 3.649    0.27555 0.005937   33.91      7.6    530.535
001872948-03 001872948 03  53.81328971 149.31100280    13.9144      47.6   9.5249    2.715   3.567  7710 3.649    0.35549 0.006974   26.46      8.4    318.758
